time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
121,c35,"(224000, 52382)","(147456, 607)","(311296, 12621)","['v0', 'v1', 'v2', 'v4', 'v9', 'v12', 'v20', 'v82', 'v26', 'v50', 'v65', 'v30', 'v90']"
121,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c47,"(224000, 96292)","(147456, 43357)","(311296, 24589)","['v3', 'v14', 'v16', 'v18', 'v67', 'v85', 'v93', 'v46']"
121,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c50,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c51,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c52,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c53,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c54,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c55,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c56,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c57,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c58,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
121,c59,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
