time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
721,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c11,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
721,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c20,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
