time-step,cId,c.cpu(full/unused),c.storage(full/unused),c.ram(full/unused),c.currUsersAllocated
301,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c16,"(224000, 91135)","(147456, 1283)","(311296, 127048)","['v24', 'v38', 'v8', 'v74', 'v25', 'v51', 'v9', 'v88', 'v43', 'v89', 'v12', 'v0', 'v75']"
301,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c25,"(224000, 47581)","(147456, 14421)","(311296, 105346)","['v45', 'v73', 'v96', 'v85', 'v16', 'v7', 'v4', 'v39', 'v13', 'v71', 'v79', 'v37', 'v59']"
301,c26,"(224000, 208065)","(147456, 130975)","(311296, 245716)",['v1']
301,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c28,"(224000, 19975)","(147456, 939)","(311296, 77753)","['v68', 'v52', 'v61', 'v58', 'v93', 'v21', 'v40', 'v84', 'v82', 'v87', 'v41', 'v77', 'v60']"
301,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c30,"(224000, 192025)","(147456, 114658)","(311296, 180282)","['v3', 'v98']"
301,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c35,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
